"No.","Time","Source","Destination","Protocol","Length","Info"
"17383","502.259554","Ubiquiti_3b:5c:ed","be:66:4e:3a:87:bb","802.11","227","Probe Response, SN=2659, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17386","502.400427","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2661, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17389","502.466758","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2663, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17390","502.501096","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2664, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17394","502.538875","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2665, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17396","502.545937","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2666, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17397","502.552755","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2667, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17399","502.574609","Ubiquiti_3b:5c:ed","Raspberr_76:f1:56","802.11","227","Probe Response, SN=2669, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17408","503.032910","ArubaaHe_58:77:63","52:64:86:6c:b6:df","802.11","185","Probe Response, SN=2102, FN=0, Flags=........, BI=100, SSID=COSTA COFFEE"
"17414","503.285654","Ubiquiti_3b:5c:ed","b6:c7:27:9e:43:f0","802.11","227","Probe Response, SN=2677, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17421","503.547697","Ubiquiti_3b:5c:ed","be:aa:c6:8c:eb:34","802.11","227","Probe Response, SN=2681, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17426","503.727907","Ubiquiti_3b:5c:ed","1a:2f:1f:f9:92:43","802.11","227","Probe Response, SN=2684, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17429","503.766281","Ubiquiti_3b:5c:ed","1a:2f:1f:f9:92:43","802.11","227","Probe Response, SN=2685, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
"17432","503.809505","Ubiquiti_3b:5c:ed","1a:2f:1f:f9:92:43","802.11","227","Probe Response, SN=2687, FN=0, Flags=........, BI=100, SSID=LOT_BL_UPC_Biznes_WiFi"
